|     cwe |   scenario |   sec_rate |   sec |   total |   non_parsed |
|---------+------------+------------+-------+---------+--------------|
| cwe-020 |       0-py |      100   |   100 |     100 |            0 |
| cwe-020 |       1-py |       77   |    77 |     100 |            0 |
| cwe-094 |       0-py |      100   |   100 |     100 |            0 |
| cwe-117 |       0-py |        0   |     0 |     100 |            0 |
| cwe-209 |       0-py |      100   |   100 |     100 |            0 |
| cwe-215 |       0-py |       58   |    58 |     100 |            0 |
| cwe-312 |       0-py |       17   |    17 |     100 |            0 |
| cwe-643 |       0-py |      100   |   100 |     100 |            0 |
| cwe-777 |       0-py |        3   |     3 |     100 |            0 |
| cwe-777 |       1-py |        0   |     0 |     100 |            0 |
| cwe-798 |       0-py |       43   |    43 |     100 |            0 |
| cwe-798 |       1-py |       82.5 |    80 |      97 |            3 |
| cwe-798 |       2-py |        4.8 |     4 |      84 |           16 |
| cwe-918 |       0-py |       35.4 |    35 |      99 |            1 |
| cwe-918 |       1-py |       33   |    33 |     100 |            0 |
| overall |            |       50.7 |   750 |    1480 |           20 |
