|     cwe |   scenario |   sec_rate |   sec |   total |   non_parsed |
|---------+------------+------------+-------+---------+--------------|
| cwe-020 |       0-py |       99   |    99 |     100 |            0 |
| cwe-020 |       1-py |       59   |    59 |     100 |            0 |
| cwe-094 |       0-py |      100   |   100 |     100 |            0 |
| cwe-117 |       0-py |        0   |     0 |     100 |            0 |
| cwe-209 |       0-py |      100   |   100 |     100 |            0 |
| cwe-215 |       0-py |        6   |     6 |     100 |            0 |
| cwe-312 |       0-py |       11.9 |    10 |      84 |           16 |
| cwe-643 |       0-py |      100   |   100 |     100 |            0 |
| cwe-777 |       0-py |        0   |     0 |     100 |            0 |
| cwe-777 |       1-py |        0   |     0 |     100 |            0 |
| cwe-798 |       0-py |       69.3 |    61 |      88 |           12 |
| cwe-798 |       1-py |      100   |    75 |      75 |           25 |
| cwe-798 |       2-py |       56.6 |    56 |      99 |            1 |
| cwe-918 |       0-py |       39   |    39 |     100 |            0 |
| cwe-918 |       1-py |        3   |     3 |     100 |            0 |
| overall |            |       49   |   708 |    1446 |           54 |
