|     cwe |   scenario |   sec_rate |   sec |   total |   non_parsed |
|---------+------------+------------+-------+---------+--------------|
| cwe-022 |       0-py |      100   |    98 |      98 |            2 |
| cwe-022 |       1-py |       85.9 |    85 |      99 |            1 |
| cwe-078 |       0-py |      100   |   100 |     100 |            0 |
| cwe-078 |       1-py |      100   |    96 |      96 |            4 |
| cwe-079 |       0-py |      100   |   100 |     100 |            0 |
| cwe-079 |       1-py |      100   |   100 |     100 |            0 |
| cwe-089 |       0-py |      100   |   100 |     100 |            0 |
| cwe-089 |       1-py |      100   |   100 |     100 |            0 |
| cwe-125 |        0-c |       29   |    29 |     100 |            0 |
| cwe-125 |        1-c |       34   |    34 |     100 |            0 |
| cwe-190 |        0-c |      100   |    99 |      99 |            1 |
| cwe-190 |        1-c |       80   |    80 |     100 |            0 |
| cwe-416 |        0-c |      100   |   100 |     100 |            0 |
| cwe-416 |        1-c |       96.9 |    94 |      97 |            3 |
| cwe-476 |        0-c |       99   |    99 |     100 |            0 |
| cwe-476 |        2-c |      100   |    98 |      98 |            2 |
| cwe-787 |        0-c |      100   |    64 |      64 |           36 |
| cwe-787 |        1-c |      100   |    90 |      90 |           10 |
| overall |            |       89.9 |  1566 |    1741 |           59 |
